threshold,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp,cost,flagged_count,flagged_rate,model_name,model_mode
0.05,0.8394495412844036,0.5085413929040736,0.9723618090452262,0.6678170836928387,0.8223544411389715,0.983929648241206,0.9547583367421166,1626,374,11,387,462.0,761,0.31734778982485407,xgb_weighted,operational
0.060000000000000005,0.8552960800667223,0.5353675450762829,0.9698492462311558,0.6899016979445934,0.8344141807176827,0.983929648241206,0.9547583367421166,1665,335,12,386,431.0,721,0.30066722268557133,xgb_weighted,operational
0.07,0.8698915763135947,0.5626822157434402,0.9698492462311558,0.7121771217712177,0.8472344161545216,0.983929648241206,0.9547583367421166,1700,300,12,386,396.0,686,0.28607172643869894,xgb_weighted,operational
0.08000000000000002,0.8844870725604671,0.5932203389830508,0.9673366834170855,0.7354345749761223,0.858991521642124,0.983929648241206,0.9547583367421166,1736,264,13,385,368.0,649,0.2706422018348624,xgb_weighted,operational
0.09000000000000001,0.896163469557965,0.6203554119547657,0.964824120603015,0.7551622418879056,0.8683853459972863,0.983929648241206,0.9547583367421166,1765,235,14,384,347.0,619,0.2581317764804003,xgb_weighted,operational
0.1,0.9036697247706422,0.6389351081530782,0.964824120603015,0.7687687687687688,0.8755129958960328,0.983929648241206,0.9547583367421166,1783,217,14,384,329.0,601,0.2506255212677231,xgb_weighted,operational
0.11000000000000001,0.9090909090909091,0.6541095890410958,0.9597989949748744,0.7780040733197556,0.8777573529411765,0.983929648241206,0.9547583367421166,1798,202,16,382,330.0,584,0.24353628023352794,xgb_weighted,operational
0.12000000000000001,0.9120100083402836,0.6620450606585788,0.9597989949748744,0.7835897435897435,0.8805901337021669,0.983929648241206,0.9547583367421166,1805,195,16,382,323.0,577,0.24061718098415347,xgb_weighted,operational
0.13,0.9165971643035863,0.675531914893617,0.957286432160804,0.7920997920997921,0.8835807050092764,0.983929648241206,0.9547583367421166,1817,183,17,381,319.0,564,0.23519599666388658,xgb_weighted,operational
0.14,0.9199332777314428,0.685251798561151,0.957286432160804,0.7987421383647799,0.8868715083798883,0.983929648241206,0.9547583367421166,1825,175,17,381,311.0,556,0.23185988323603002,xgb_weighted,operational
0.15000000000000002,0.9245204336947456,0.6998158379373849,0.9547738693467337,0.8076514346439958,0.8899297423887588,0.983929648241206,0.9547583367421166,1837,163,18,380,307.0,543,0.22643869891576313,xgb_weighted,operational
0.16000000000000003,0.9286905754795663,0.7129455909943715,0.9547738693467337,0.8163265306122449,0.8941176470588236,0.983929648241206,0.9547583367421166,1847,153,18,380,297.0,533,0.22226855713094246,xgb_weighted,operational
0.17000000000000004,0.9332777314428691,0.7279693486590039,0.9547738693467337,0.8260869565217391,0.8987701040681173,0.983929648241206,0.9547583367421166,1858,142,18,380,286.0,522,0.2176814011676397,xgb_weighted,operational
0.18000000000000005,0.9378648874061718,0.7445972495088409,0.9522613065326633,0.8357221609702316,0.9019514516896716,0.983929648241206,0.9547583367421166,1870,130,19,379,282.0,509,0.2122602168473728,xgb_weighted,operational
0.19,0.939115929941618,0.7490118577075099,0.9522613065326633,0.838495575221239,0.9032411820781697,0.983929648241206,0.9547583367421166,1873,127,19,379,279.0,506,0.21100917431192662,xgb_weighted,operational
0.2,0.9412010008340284,0.7564870259481038,0.9522613065326633,0.8431590656284761,0.9053989488772097,0.983929648241206,0.9547583367421166,1878,122,19,379,274.0,501,0.20892410341951625,xgb_weighted,operational
0.21000000000000002,0.9437030859049208,0.7656565656565657,0.9522613065326633,0.8488241881298992,0.9080019166267369,0.983929648241206,0.9547583367421166,1884,116,19,379,268.0,495,0.20642201834862386,xgb_weighted,operational
0.22000000000000003,0.945371142618849,0.7718940936863544,0.9522613065326633,0.8526434195725534,0.9097455592894863,0.983929648241206,0.9547583367421166,1888,112,19,379,264.0,491,0.20475396163469559,xgb_weighted,operational
0.23000000000000004,0.9462051709758131,0.7750511247443763,0.9522613065326633,0.85456595264938,0.9106198942815954,0.983929648241206,0.9547583367421166,1890,110,19,379,262.0,489,0.20391993327773145,xgb_weighted,operational
0.24000000000000005,0.9470391993327774,0.7782340862422998,0.9522613065326633,0.8564971751412429,0.9114959114959115,0.983929648241206,0.9547583367421166,1892,108,19,379,260.0,487,0.2030859049207673,xgb_weighted,operational
0.25000000000000006,0.9491242702251876,0.7863070539419087,0.9522613065326633,0.8613636363636363,0.9136933461909353,0.983929648241206,0.9547583367421166,1897,103,19,379,255.0,482,0.20100083402835697,xgb_weighted,operational
0.26000000000000006,0.9491242702251876,0.7875,0.949748743718593,0.8610478359908884,0.9121621621621622,0.983929648241206,0.9547583367421166,1898,102,20,378,262.0,480,0.20016680567139283,xgb_weighted,operational
0.27,0.951209341117598,0.7957894736842105,0.949748743718593,0.865979381443299,0.9143686502177069,0.983929648241206,0.9547583367421166,1903,97,20,378,257.0,475,0.1980817347789825,xgb_weighted,operational
0.28,0.951209341117598,0.7970401691331924,0.9472361809045227,0.8656716417910447,0.9128329297820823,0.983929648241206,0.9547583367421166,1904,96,21,377,264.0,473,0.19724770642201836,xgb_weighted,operational
0.29000000000000004,0.9524603836530442,0.8034188034188035,0.9447236180904522,0.8683602771362586,0.912621359223301,0.983929648241206,0.9547583367421166,1908,92,22,376,268.0,468,0.195162635529608,xgb_weighted,operational
0.30000000000000004,0.9549624687239366,0.8138528138528138,0.9447236180904522,0.8744186046511628,0.9152872444011685,0.983929648241206,0.9547583367421166,1914,86,22,376,262.0,462,0.1926605504587156,xgb_weighted,operational
0.31000000000000005,0.9553794829024187,0.8169934640522876,0.9422110552763819,0.8751458576429405,0.9141882008776206,0.983929648241206,0.9547583367421166,1916,84,23,375,268.0,459,0.19140950792326938,xgb_weighted,operational
0.32000000000000006,0.9557964970809008,0.8215859030837004,0.9371859296482412,0.8755868544600939,0.9115347018572825,0.983929648241206,0.9547583367421166,1919,81,25,373,281.0,454,0.18932443703085905,xgb_weighted,operational
0.33,0.9566305254378649,0.8266666666666667,0.9346733668341709,0.8773584905660378,0.910871694417238,0.983929648241206,0.9547583367421166,1922,78,26,372,286.0,450,0.18765638031693077,xgb_weighted,operational
0.34,0.9570475396163469,0.8285077951002228,0.9346733668341709,0.8783943329397875,0.9113179813816756,0.983929648241206,0.9547583367421166,1923,77,26,372,285.0,449,0.18723936613844872,xgb_weighted,operational
0.35000000000000003,0.9587155963302753,0.8359550561797753,0.9346733668341709,0.8825622775800712,0.9131075110456554,0.983929648241206,0.9547583367421166,1927,73,26,372,281.0,445,0.18557130942452044,xgb_weighted,operational
0.36000000000000004,0.9603836530442035,0.8435374149659864,0.9346733668341709,0.8867699642431466,0.9149040826364978,0.983929648241206,0.9547583367421166,1931,69,26,372,277.0,441,0.18390325271059216,xgb_weighted,operational
0.37000000000000005,0.9608006672226855,0.8454545454545455,0.9346733668341709,0.8878281622911695,0.9153543307086615,0.983929648241206,0.9547583367421166,1932,68,26,372,276.0,440,0.1834862385321101,xgb_weighted,operational
0.38000000000000006,0.9620517097581318,0.851258581235698,0.9346733668341709,0.8910179640718563,0.9167077378018729,0.983929648241206,0.9547583367421166,1935,65,26,372,273.0,437,0.18223519599666388,xgb_weighted,operational
0.39000000000000007,0.9624687239366139,0.8548387096774194,0.9321608040201005,0.8918269230769231,0.9155972359328727,0.983929648241206,0.9547583367421166,1937,63,27,371,279.0,434,0.18098415346121768,xgb_weighted,operational
0.4000000000000001,0.963302752293578,0.8587962962962963,0.9321608040201005,0.8939759036144578,0.916501976284585,0.983929648241206,0.9547583367421166,1939,61,27,371,277.0,432,0.18015012510425354,xgb_weighted,operational
0.4100000000000001,0.9641367806505421,0.8627906976744186,0.9321608040201005,0.8961352657004831,0.917408506429278,0.983929648241206,0.9547583367421166,1941,59,27,371,275.0,430,0.1793160967472894,xgb_weighted,operational
0.42000000000000004,0.9641367806505421,0.8627906976744186,0.9321608040201005,0.8961352657004831,0.917408506429278,0.983929648241206,0.9547583367421166,1941,59,27,371,275.0,430,0.1793160967472894,xgb_weighted,operational
0.43000000000000005,0.9641367806505421,0.8644859813084113,0.9296482412060302,0.8958837772397095,0.9158415841584159,0.983929648241206,0.9547583367421166,1942,58,28,370,282.0,428,0.17848206839032527,xgb_weighted,operational
0.44000000000000006,0.9653878231859884,0.8705882352941177,0.9296482412060302,0.8991494532199271,0.917203767972236,0.983929648241206,0.9547583367421166,1945,55,28,370,279.0,425,0.17723102585487907,xgb_weighted,operational
0.45000000000000007,0.9653878231859884,0.8705882352941177,0.9296482412060302,0.8991494532199271,0.917203767972236,0.983929648241206,0.9547583367421166,1945,55,28,370,279.0,425,0.17723102585487907,xgb_weighted,operational
0.4600000000000001,0.9658048373644704,0.8726415094339622,0.9296482412060302,0.9002433090024331,0.9176587301587301,0.983929648241206,0.9547583367421166,1946,54,28,370,278.0,424,0.176814011676397,xgb_weighted,operational
0.4700000000000001,0.9658048373644704,0.8726415094339622,0.9296482412060302,0.9002433090024331,0.9176587301587301,0.983929648241206,0.9547583367421166,1946,54,28,370,278.0,424,0.176814011676397,xgb_weighted,operational
